"","year","iso3c","sector","co2e_emissions"
"157",2001,"ABW","Buildings",0.171675706471636
"158",2001,"ABW","Transport",0.282064096853402
"159",2001,"ABW","Other industrial combustion",0.09485879374313
"160",2001,"ABW","Other sectors",0.042598612915444
"161",2002,"ABW","Power Industry",0.37718767596544
"162",2002,"ABW","Buildings",0.165110955321448
"163",2002,"ABW","Transport",0.252786216509562
"164",2002,"ABW","Other industrial combustion",0.092949066363328
"165",2002,"ABW","Other sectors",0.046518780522036
"166",2003,"ABW","Power Industry",0.46598060814756
"167",2003,"ABW","Buildings",0.18393884672457
"168",2003,"ABW","Transport",0.307165855732546
"169",2003,"ABW","Other industrial combustion",0.101649851226748
"170",2003,"ABW","Other sectors",0.044871794176606
"171",2004,"ABW","Power Industry",0.49441712787056
"172",2004,"ABW","Buildings",0.172879514130056
"173",2004,"ABW","Transport",0.33778513607136
"174",2004,"ABW","Other industrial combustion",0.121449991283624
"175",2004,"ABW","Other sectors",0.042817565356166
"176",2005,"ABW","Power Industry",0.5307628816959
"177",2005,"ABW","Buildings",0.15813240621356
"178",2005,"ABW","Transport",0.376025160451958
"179",2005,"ABW","Other industrial combustion",0.10581232482406
"180",2005,"ABW","Other sectors",0.043802164141438
"181",2006,"ABW","Power Industry",0.51206362003066
"182",2006,"ABW","Buildings",0.141256897500996
"183",2006,"ABW","Transport",0.371050534890932
"184",2006,"ABW","Other industrial combustion",0.074866890497612
"185",2006,"ABW","Other sectors",0.046467550885216
"186",2007,"ABW","Power Industry",0.5192715952525
"187",2007,"ABW","Buildings",0.14461993502263
"188",2007,"ABW","Transport",0.371100349794824
"189",2007,"ABW","Other industrial combustion",0.073312764954152
"190",2007,"ABW","Other sectors",0.04637281084688
"191",2008,"ABW","Power Industry",0.5034132226614
"192",2008,"ABW","Buildings",0.1194340789906
"193",2008,"ABW","Transport",0.347265126424586
"194",2008,"ABW","Other industrial combustion",0.06303958920733
"195",2008,"ABW","Other sectors",0.046567521936074
"196",2009,"ABW","Power Industry",0.53169530245386
"197",2009,"ABW","Buildings",0.13799457304179
"198",2009,"ABW","Transport",0.38002557586816
"199",2009,"ABW","Other industrial combustion",0.057900897281768
"200",2009,"ABW","Other sectors",0.050682297395734
"201",2010,"ABW","Power Industry",0.55999149861232
"202",2010,"ABW","Buildings",0.06814930352649
"203",2010,"ABW","Transport",0.358308040112055
