"","year","iso3c","co2_emissions","cumulative_co2"
"2267",1984,"BRN",1.916,135.687
"2268",1985,"BRN",2.594,138.281
"2269",1986,"BRN",2.297,140.578
"2270",1987,"BRN",3.316,143.894
"2271",1988,"BRN",5.712,149.606
"2272",1989,"BRN",6.342,155.948
"2273",1990,"BRN",6.188,162.136
"2274",1991,"BRN",5.305,167.441
"2275",1992,"BRN",5.21,172.651
"2276",1993,"BRN",4.965,177.616
"2277",1994,"BRN",4.69,182.306
"2278",1995,"BRN",4.785,187.091
"2279",1996,"BRN",4.741,191.832
"2280",1997,"BRN",4.932,196.764
"2281",1998,"BRN",5.159,201.923
"2282",1999,"BRN",3.803,205.726
"2283",2000,"BRN",4.591,210.317
"2284",2001,"BRN",4.389,214.706
"2285",2002,"BRN",4.254,218.96
"2286",2003,"BRN",4.47,223.43
"2287",2004,"BRN",4.873,228.303
"2288",2005,"BRN",4.869,233.172
"2289",2006,"BRN",4.738,237.91
"2290",2007,"BRN",8.31,246.22
"2291",2008,"BRN",8.991,255.211
"2292",2009,"BRN",7.746,262.957
"2293",2010,"BRN",8.061,271.018
"2294",2011,"BRN",9.545,280.563
"2295",2012,"BRN",9.493,290.056
"2296",2013,"BRN",7.628,297.684
"2297",2014,"BRN",8.926,306.61
"2298",2015,"BRN",6.954,313.564
"2299",2016,"BRN",7.544,321.108
"2300",2017,"BRN",9.552,330.66
"2301",2018,"BRN",9.592,340.252
"2302",2019,"BRN",9.958,350.21
"2303",2020,"BRN",10.158,360.368
"2304",1970,"BTN",0.004,0.004
"2305",1971,"BTN",0.004,0.008
"2306",1972,"BTN",0.004,0.012
"2307",1973,"BTN",0.004,0.016
"2308",1974,"BTN",0.004,0.02
"2309",1975,"BTN",0.004,0.024
"2310",1976,"BTN",0.004,0.028
"2311",1977,"BTN",0.007,0.035
"2312",1978,"BTN",0.011,0.046
"2313",1979,"BTN",0.022,0.068
"2314",1980,"BTN",0.022,0.09
"2315",1981,"BTN",0.026,0.116
"2316",1982,"BTN",0.033,0.149
"2317",1983,"BTN",0.029,0.178
"2318",1984,"BTN",0.051,0.229
"2319",1985,"BTN",0.062,0.291
"2320",1986,"BTN",0.055,0.346
"2321",1987,"BTN",0.103,0.449
"2322",1988,"BTN",0.11,0.559
"2323",1989,"BTN",0.062,0.621
"2324",1990,"BTN",0.128,0.749
"2325",1991,"BTN",0.175,0.924
"2326",1992,"BTN",0.205,1.129
"2327",1993,"BTN",0.172,1.301
"2328",1994,"BTN",0.202,1.503
"2329",1995,"BTN",0.236,1.739
"2330",1996,"BTN",0.284,2.023
"2331",1997,"BTN",0.375,2.398
"2332",1998,"BTN",0.368,2.766
"2333",1999,"BTN",0.372,3.138
"2334",2000,"BTN",0.383,3.521
"2335",2001,"BTN",0.369,3.89
"2336",2002,"BTN",0.401,4.291
"2337",2003,"BTN",0.36,4.651
"2338",2004,"BTN",0.291,4.942
"2339",2005,"BTN",0.378,5.32
"2340",2006,"BTN",0.374,5.694
"2341",2007,"BTN",0.373,6.067
"2342",2008,"BTN",0.401,6.468
"2343",2009,"BTN",0.369,6.837
"2344",2010,"BTN",0.465,7.302
"2345",2011,"BTN",0.667,7.969
"2346",2012,"BTN",0.773,8.742
"2347",2013,"BTN",0.853,9.595
"2348",2014,"BTN",0.948,10.543
"2349",2015,"BTN",0.965,11.508
"2350",2016,"BTN",1.156,12.664
"2351",2017,"BTN",1.239,13.903
"2352",2018,"BTN",1.436,15.339
"2353",2019,"BTN",1.927,17.266
"2354",2020,"BTN",1.925,19.191
"2355",1972,"BWA",0.022,0.022
"2356",1973,"BWA",0.051,0.073
"2357",1974,"BWA",0.088,0.161
"2358",1975,"BWA",0.187,0.348
"2359",1976,"BWA",0.594,0.942
"2360",1977,"BWA",0.78,1.722
"2361",1978,"BWA",0.832,2.554
"2362",1979,"BWA",0.942,3.496
"2363",1980,"BWA",0.986,4.482
"2364",1981,"BWA",1.008,5.49
"2365",1982,"BWA",1.099,6.589
"2366",1983,"BWA",1.03,7.619
"2367",1984,"BWA",1.044,8.663
"2368",1985,"BWA",1.158,9.821
"2369",1986,"BWA",1.066,10.887
"2370",1987,"BWA",1.238,12.125
"2371",1988,"BWA",1.301,13.426
"2372",1989,"BWA",1.429,14.855
"2373",1990,"BWA",2.7,17.555
"2374",1991,"BWA",2.634,20.189
"2375",1992,"BWA",2.777,22.966
"2376",1993,"BWA",3.195,26.161
"2377",1994,"BWA",3.03,29.191
"2378",1995,"BWA",3.045,32.236
"2379",1996,"BWA",2.755,34.991
"2380",1997,"BWA",2.799,37.79
"2381",1998,"BWA",3.342,41.132
"2382",1999,"BWA",3.158,44.29
"2383",2000,"BWA",3.778,48.068
"2384",2001,"BWA",3.847,51.915
"2385",2002,"BWA",3.975,55.89
"2386",2003,"BWA",3.825,59.715
"2387",2004,"BWA",3.895,63.61
"2388",2005,"BWA",4.093,67.703
"2389",2006,"BWA",4.133,71.836
"2390",2007,"BWA",4.228,76.064
"2391",2008,"BWA",4.503,80.567
"2392",2009,"BWA",3.855,84.422
"2393",2010,"BWA",4.537,88.959
"2394",2011,"BWA",4.029,92.988
"2395",2012,"BWA",5.077,98.065
"2396",2013,"BWA",5.663,103.728
"2397",2014,"BWA",6.85,110.578
"2398",2015,"BWA",5.425,116.003
"2399",2016,"BWA",6.334,122.337
"2400",2017,"BWA",7.059,129.396
"2401",2018,"BWA",7.561,136.957
"2402",2019,"BWA",6.925,143.882
"2403",2020,"BWA",6.519,150.401
"2404",1959,"CAF",0.099,0.099
"2405",1960,"CAF",0.088,0.187
"2406",1961,"CAF",0.088,0.275
"2407",1962,"CAF",0.073,0.348
"2408",1963,"CAF",0.073,0.421
"2409",1964,"CAF",0.073,0.494
"2410",1965,"CAF",0.088,0.582
"2411",1966,"CAF",0.084,0.666
"2412",1967,"CAF",0.092,0.758
"2413",1968,"CAF",0.183,0.941
"2414",1969,"CAF",0.187,1.128
"2415",1970,"CAF",0.209,1.337
"2416",1971,"CAF",0.183,1.52
"2417",1972,"CAF",0.169,1.689
"2418",1973,"CAF",0.161,1.85
"2419",1974,"CAF",0.114,1.964
"2420",1975,"CAF",0.103,2.067
"2421",1976,"CAF",0.128,2.195
"2422",1977,"CAF",0.128,2.323
"2423",1978,"CAF",0.147,2.47
"2424",1979,"CAF",0.103,2.573
"2425",1980,"CAF",0.106,2.679
"2426",1981,"CAF",0.136,2.815
"2427",1982,"CAF",0.143,2.958
"2428",1983,"CAF",0.147,3.105
"2429",1984,"CAF",0.15,3.255
"2430",1985,"CAF",0.161,3.416
"2431",1986,"CAF",0.161,3.577
"2432",1987,"CAF",0.26,3.837
"2433",1988,"CAF",0.231,4.068
"2434",1989,"CAF",0.249,4.317
"2435",1990,"CAF",0.183,4.5
"2436",1991,"CAF",0.191,4.691
"2437",1992,"CAF",0.194,4.885
"2438",1993,"CAF",0.198,5.083
"2439",1994,"CAF",0.209,5.292
"2440",1995,"CAF",0.209,5.501
"2441",1996,"CAF",0.213,5.714
"2442",1997,"CAF",0.216,5.93
"2443",1998,"CAF",0.22,6.15
"2444",1999,"CAF",0.231,6.381
"2445",2000,"CAF",0.234,6.615
"2446",2001,"CAF",0.245,6.86
"2447",2002,"CAF",0.242,7.102
"2448",2003,"CAF",0.224,7.326
"2449",2004,"CAF",0.22,7.546
"2450",2005,"CAF",0.216,7.762
"2451",2006,"CAF",0.227,7.989
"2452",2007,"CAF",0.231,8.22
"2453",2008,"CAF",0.165,8.385
"2454",2009,"CAF",0.161,8.546
"2455",2010,"CAF",0.169,8.715
"2456",2011,"CAF",0.187,8.902
"2457",2012,"CAF",0.191,9.093
"2458",2013,"CAF",0.117,9.21
"2459",2014,"CAF",0.125,9.335
"2460",2015,"CAF",0.18,9.515
"2461",2016,"CAF",0.198,9.713
"2462",2017,"CAF",0.216,9.929
"2463",2018,"CAF",0.22,10.149
"2464",2019,"CAF",0.21,10.359
"2465",2020,"CAF",0.188,10.547
"2466",1900,"CAN",20.628,20.628
"2467",1901,"CAN",23.845,44.473
"2468",1902,"CAN",25.648,70.121
"2469",1903,"CAN",27.96,98.081
"2470",1904,"CAN",33.097,131.178
"2471",1905,"CAN",35.387,166.565
"2472",1906,"CAN",37.387,203.952
"2473",1907,"CAN",46.991,250.943
"2474",1908,"CAN",47.408,298.351
"2475",1909,"CAN",45.386,343.737
"2476",1910,"CAN",51.622,395.359
"2477",1911,"CAN",60.269,455.628
"2478",1912,"CAN",67.271,522.899
"2479",1913,"CAN",79.282,602.181
"2480",1914,"CAN",68.381,670.562
"2481",1915,"CAN",61.116,731.678
"2482",1916,"CAN",76.457,808.135
"2483",1917,"CAN",85.243,893.378
"2484",1918,"CAN",89.519,982.897
"2485",1919,"CAN",76.09,1058.987
"2486",1920,"CAN",84.378,1143.365
"2487",1921,"CAN",80.483,1223.848
"2488",1922,"CAN",69.209,1293.057
"2489",1923,"CAN",92.981,1386.038
"2490",1924,"CAN",77.384,1463.422
"2491",1925,"CAN",75.248,1538.67
"2492",1926,"CAN",84.756,1623.426
"2493",1927,"CAN",91.999,1715.425
"2494",1928,"CAN",93.777,1809.202
"2495",1929,"CAN",99.03,1908.232
"2496",1930,"CAN",94.348,2002.58
"2497",1931,"CAN",75.849,2078.429
"2498",1932,"CAN",70.207,2148.636
"2499",1933,"CAN",69.483,2218.119
"2500",1934,"CAN",79.913,2298.032
"2501",1935,"CAN",78.796,2376.828
"2502",1936,"CAN",86.163,2462.991
"2503",1937,"CAN",93.483,2556.474
"2504",1938,"CAN",85.544,2642.018
"2505",1939,"CAN",95.004,2737.022
"2506",1940,"CAN",108.622,2845.644
"2507",1941,"CAN",120.152,2965.796
"2508",1942,"CAN",131.077,3096.873
"2509",1943,"CAN",138.062,3234.935
"2510",1944,"CAN",140.407,3375.342
"2511",1945,"CAN",130.521,3505.863
"2512",1946,"CAN",138.422,3644.285
"2513",1947,"CAN",143.548,3787.833
"2514",1948,"CAN",158.507,3946.34
"2515",1949,"CAN",145.022,4091.362
"2516",1950,"CAN",154.134,4245.496
"2517",1951,"CAN",162.678,4408.174
"2518",1952,"CAN",159.409,4567.583
"2519",1953,"CAN",160.608,4728.191
"2520",1954,"CAN",162.968,4891.159
"2521",1955,"CAN",169.473,5060.632
"2522",1956,"CAN",189.802,5250.434
"2523",1957,"CAN",182.811,5433.245
"2524",1958,"CAN",182.155,5615.4
"2525",1959,"CAN",184.481,5799.881
"2526",1960,"CAN",192.716,5992.597
"2527",1961,"CAN",194.001,6186.598
"2528",1962,"CAN",206.991,6393.589
"2529",1963,"CAN",210.911,6604.5
"2530",1964,"CAN",237.578,6842.078
"2531",1965,"CAN",251.917,7093.995
"2532",1966,"CAN",259.074,7353.069
"2533",1967,"CAN",281.637,7634.706
"2534",1968,"CAN",303.261,7937.967
"2535",1969,"CAN",307.119,8245.086
"2536",1970,"CAN",341.177,8586.263
"2537",1971,"CAN",352.287,8938.55
"2538",1972,"CAN",380.792,9319.342
"2539",1973,"CAN",381.273,9700.615
"2540",1974,"CAN",389.617,10090.232
"2541",1975,"CAN",396.787,10487.019
"2542",1976,"CAN",398.962,10885.981
"2543",1977,"CAN",407.79,11293.771
"2544",1978,"CAN",415.529,11709.3
"2545",1979,"CAN",441.677,12150.977
"2546",1980,"CAN",442.847,12593.824
"2547",1981,"CAN",429.63,13023.454
"2548",1982,"CAN",414.455,13437.909
"2549",1983,"CAN",408.339,13846.248
"2550",1984,"CAN",425.233,14271.481
"2551",1985,"CAN",421.719,14693.2
"2552",1986,"CAN",404.708,15097.908
"2553",1987,"CAN",430.982,15528.89
"2554",1988,"CAN",455.669,15984.559
"2555",1989,"CAN",462.885,16447.444
"2556",1990,"CAN",458.007,16905.451
"2557",1991,"CAN",449.699,17355.15
"2558",1992,"CAN",463.521,17818.671
"2559",1993,"CAN",463.993,18282.664
"2560",1994,"CAN",478.267,18760.931
"2561",1995,"CAN",490.951,19251.882
"2562",1996,"CAN",507,19758.882
"2563",1997,"CAN",521.278,20280.16
"2564",1998,"CAN",528.987,20809.147
"2565",1999,"CAN",543.73,21352.877
"2566",2000,"CAN",566.552,21919.429
"2567",2001,"CAN",559.042,22478.471
"2568",2002,"CAN",564.669,23043.14
"2569",2003,"CAN",582.344,23625.484
"2570",2004,"CAN",580.759,24206.243
"2571",2005,"CAN",575.852,24782.095
"2572",2006,"CAN",571.41,25353.505
"2573",2007,"CAN",594.665,25948.17
"2574",2008,"CAN",579.367,26527.537
"2575",2009,"CAN",546.61,27074.147
"2576",2010,"CAN",558.804,27632.951
"2577",2011,"CAN",569.87,28202.821
"2578",2012,"CAN",569.263,28772.084
"2579",2013,"CAN",573.699,29345.783
"2580",2014,"CAN",570.563,29916.346
"2581",2015,"CAN",573.061,30489.407
"2582",2016,"CAN",559.567,31048.974
"2583",2017,"CAN",569.36,31618.334
"2584",2018,"CAN",579.47,32197.804
"2585",2019,"CAN",582.39,32780.194
"2586",2020,"CAN",535.823,33316.017
"2587",1900,"CHE",5.676,5.676
"2588",1901,"CHE",5.185,10.861
"2589",1902,"CHE",5.236,16.097
"2590",1903,"CHE",5.672,21.769
"2591",1904,"CHE",5.961,27.73
"2592",1905,"CHE",6.24,33.97
"2593",1906,"CHE",6.896,40.866
"2594",1907,"CHE",7.999,48.865
"2595",1908,"CHE",8.006,56.871
"2596",1909,"CHE",8.068,64.939
"2597",1910,"CHE",7.79,72.729
"2598",1911,"CHE",8.61,81.339
"2599",1912,"CHE",8.761,90.1
"2600",1913,"CHE",9.252,99.352
"2601",1914,"CHE",8.427,107.779
"2602",1915,"CHE",8.926,116.705
"2603",1916,"CHE",8.482,125.187
"2604",1917,"CHE",6.108,131.295
"2605",1918,"CHE",5.745,137.04
"2606",1919,"CHE",4.606,141.646
"2607",1920,"CHE",7.233,148.879
"2608",1921,"CHE",4.466,153.345
"2609",1922,"CHE",6.152,159.497
"2610",1923,"CHE",7.665,167.162
"2611",1924,"CHE",7.233,174.395
"2612",1925,"CHE",7.537,181.932
"2613",1926,"CHE",7.456,189.388
"2614",1927,"CHE",8.596,197.984
"2615",1928,"CHE",8.963,206.947
"2616",1929,"CHE",10.264,217.211
"2617",1930,"CHE",9.556,226.767
"2618",1931,"CHE",10.095,236.862
"2619",1932,"CHE",10.223,247.085
"2620",1933,"CHE",9.567,256.652
"2621",1934,"CHE",9.556,266.208
"2622",1935,"CHE",9.475,275.683
"2623",1936,"CHE",9.92,285.603
"2624",1937,"CHE",10.464,296.067
"2625",1938,"CHE",10.458,306.525
"2626",1939,"CHE",11.86,318.385
"2627",1940,"CHE",8.311,326.696
"2628",1941,"CHE",6.625,333.321
"2629",1942,"CHE",5.839,339.16
"2630",1943,"CHE",6.172,345.332
"2631",1944,"CHE",4.45,349.782
"2632",1945,"CHE",1.621,351.403
"2633",1946,"CHE",5.764,357.167
"2634",1947,"CHE",9.446,366.613
"2635",1948,"CHE",10.211,376.824
"2636",1949,"CHE",8.53,385.354
"2637",1950,"CHE",10.233,395.587
"2638",1951,"CHE",12.298,407.885
"2639",1952,"CHE",11.225,419.11
"2640",1953,"CHE",10.333,429.443
"2641",1954,"CHE",12.593,442.036
"2642",1955,"CHE",13.614,455.65
"2643",1956,"CHE",17.061,472.711
"2644",1957,"CHE",17.694,490.405
"2645",1958,"CHE",16.285,506.69
"2646",1959,"CHE",16.602,523.292
"2647",1960,"CHE",19.499,542.791
"2648",1961,"CHE",20.361,563.152
"2649",1962,"CHE",24.123,587.275
"2650",1963,"CHE",29.07,616.345
"2651",1964,"CHE",28.129,644.474
"2652",1965,"CHE",30.329,674.803
"2653",1966,"CHE",31.489,706.292
"2654",1967,"CHE",32.519,738.811
"2655",1968,"CHE",35.981,774.792
"2656",1969,"CHE",38.047,812.839
"2657",1970,"CHE",40.244,853.083
"2658",1971,"CHE",41.888,894.971
"2659",1972,"CHE",42.916,937.887
"2660",1973,"CHE",46.203,984.09
"2661",1974,"CHE",41.427,1025.517
"2662",1975,"CHE",39.051,1064.568
"2663",1976,"CHE",40.437,1105.005
"2664",1977,"CHE",41.038,1146.043
"2665",1978,"CHE",42.17,1188.213
"2666",1979,"CHE",39.865,1228.078
"2667",1980,"CHE",40.491,1268.569
"2668",1981,"CHE",38.812,1307.381
"2669",1982,"CHE",36.586,1343.967
"2670",1983,"CHE",40.023,1383.99
"2671",1984,"CHE",39.129,1423.119
"2672",1985,"CHE",39.781,1462.9
"2673",1986,"CHE",42.247,1505.147
"2674",1987,"CHE",40.205,1545.352
"2675",1988,"CHE",40.662,1586.014
"2676",1989,"CHE",39.419,1625.433
"2677",1990,"CHE",44.153,1669.586
"2678",1991,"CHE",46.132,1715.718
"2679",1992,"CHE",46.009,1761.727
"2680",1993,"CHE",43.601,1805.328
"2681",1994,"CHE",42.676,1848.004
"2682",1995,"CHE",43.413,1891.417
"2683",1996,"CHE",44.099,1935.516
"2684",1997,"CHE",43.037,1978.553
"2685",1998,"CHE",44.615,2023.168
"2686",1999,"CHE",44.446,2067.614
"2687",2000,"CHE",43.618,2111.232
"2688",2001,"CHE",45.082,2156.314
"2689",2002,"CHE",43.468,2199.782
"2690",2003,"CHE",44.652,2244.434
"2691",2004,"CHE",45.236,2289.67
"2692",2005,"CHE",45.788,2335.458
"2693",2006,"CHE",45.373,2380.831
"2694",2007,"CHE",43.368,2424.199
"2695",2008,"CHE",44.714,2468.913
"2696",2009,"CHE",43.534,2512.447
"2697",2010,"CHE",45.049,2557.496
"2698",2011,"CHE",40.985,2598.481
"2699",2012,"CHE",42.255,2640.736
"2700",2013,"CHE",43.186,2683.922
"2701",2014,"CHE",39.231,2723.153
"2702",2015,"CHE",38.731,2761.884
"2703",2016,"CHE",39.193,2801.077
"2704",2017,"CHE",38.183,2839.26
"2705",2018,"CHE",36.868,2876.128
"2706",2019,"CHE",36.742,2912.87
"2707",2020,"CHE",32.298,2945.168
"2708",1900,"CHL",0.85,0.85
"2709",1901,"CHL",1.568,2.418
"2710",1902,"CHL",1.96,4.378
"2711",1903,"CHL",2.162,6.54
"2712",1904,"CHL",1.968,8.508
"2713",1905,"CHL",2.077,10.585
"2714",1906,"CHL",2.44,13.025
"2715",1907,"CHL",2.18,15.205
"2716",1908,"CHL",2.459,17.664
"2717",1909,"CHL",2.352,20.016
"2718",1910,"CHL",2.81,22.826
"2719",1911,"CHL",3.107,25.933
"2720",1912,"CHL",3.462,29.395
"2721",1913,"CHL",3.356,32.751
"2722",1914,"CHL",2.843,35.594
"2723",1915,"CHL",3.067,38.661
"2724",1916,"CHL",3.708,42.369
"2725",1917,"CHL",4.027,46.396
"2726",1918,"CHL",3.968,50.364
"2727",1919,"CHL",3.884,54.248
"2728",1920,"CHL",2.781,57.029
"2729",1921,"CHL",3.334,60.363
"2730",1922,"CHL",2.755,63.118
"2731",1923,"CHL",3.045,66.163
"2732",1924,"CHL",4.027,70.19
"2733",1925,"CHL",3.8,73.99
"2734",1926,"CHL",3.902,77.892
"2735",1927,"CHL",3.877,81.769
"2736",1928,"CHL",3.656,85.425
"2737",1929,"CHL",4.015,89.44
"2738",1930,"CHL",3.85,93.29
"2739",1931,"CHL",2.927,96.217
"2740",1932,"CHL",2.894,99.111
"2741",1933,"CHL",4.092,103.203
"2742",1934,"CHL",4.828,108.031
"2743",1935,"CHL",5.11,113.141
"2744",1936,"CHL",5.026,118.167
"2745",1937,"CHL",5.279,123.446
"2746",1938,"CHL",5.527,128.973
"2747",1939,"CHL",5.007,133.98
"2748",1940,"CHL",5.26,139.24
"2749",1941,"CHL",5.568,144.808
"2750",1942,"CHL",5.806,150.614
"2751",1943,"CHL",6.11,156.724
"2752",1944,"CHL",6.139,162.863
"2753",1945,"CHL",5.641,168.504
"2754",1946,"CHL",5.431,173.935
"2755",1947,"CHL",5.706,179.641
"2756",1948,"CHL",6.208,185.849
"2757",1949,"CHL",5.875,191.724
"2758",1950,"CHL",8.451,200.175
"2759",1951,"CHL",9.982,210.157
"2760",1952,"CHL",10.604,220.761
"2761",1953,"CHL",10.403,231.164
"2762",1954,"CHL",11.08,242.244
"2763",1955,"CHL",11.597,253.841
"2764",1956,"CHL",11.832,265.673
"2765",1957,"CHL",11.726,277.399
"2766",1958,"CHL",12.451,289.85
"2767",1959,"CHL",12.703,302.553
"2768",1960,"CHL",13.476,316.029
"2769",1961,"CHL",14.458,330.487
"2770",1962,"CHL",16.707,347.194
"2771",1963,"CHL",17.337,364.531
"2772",1964,"CHL",17.505,382.036
"2773",1965,"CHL",17.747,399.783
"2774",1966,"CHL",18.772,418.555
"2775",1967,"CHL",19.238,437.793
"2776",1968,"CHL",21.202,458.995
"2777",1969,"CHL",22.531,481.526
"2778",1970,"CHL",24.636,506.162
"2779",1971,"CHL",27.055,533.217
"2780",1972,"CHL",28.138,561.355
"2781",1973,"CHL",27.587,588.942
"2782",1974,"CHL",25.876,614.818
"2783",1975,"CHL",22.945,637.763
"2784",1976,"CHL",24.027,661.79
"2785",1977,"CHL",23.014,684.804
"2786",1978,"CHL",22.838,707.642
"2787",1979,"CHL",24.725,732.367
"2788",1980,"CHL",25.094,757.461
"2789",1981,"CHL",24.339,781.8
"2790",1982,"CHL",20.47,802.27
"2791",1983,"CHL",20.668,822.938
"2792",1984,"CHL",21.997,844.935
"2793",1985,"CHL",21.284,866.219
"2794",1986,"CHL",22.013,888.232
"2795",1987,"CHL",22.399,910.631
"2796",1988,"CHL",26.587,937.218
"2797",1989,"CHL",32.003,969.221
"2798",1990,"CHL",32.891,1002.112
"2799",1991,"CHL",30.95,1033.062
"2800",1992,"CHL",31.978,1065.04
"2801",1993,"CHL",33.953,1098.993
"2802",1994,"CHL",37.517,1136.51
"2803",1995,"CHL",41.072,1177.582
"2804",1996,"CHL",47.611,1225.193
"2805",1997,"CHL",55.433,1280.626
"2806",1998,"CHL",56.787,1337.413
"2807",1999,"CHL",60.89,1398.303
"2808",2000,"CHL",58.096,1456.399
"2809",2001,"CHL",52.558,1508.957
"2810",2002,"CHL",54.471,1563.428
"2811",2003,"CHL",54.864,1618.292
"2812",2004,"CHL",59.026,1677.318
"2813",2005,"CHL",60.926,1738.244
"2814",2006,"CHL",63.949,1802.193
"2815",2007,"CHL",70.683,1872.876
"2816",2008,"CHL",70.795,1943.671
"2817",2009,"CHL",65.901,2009.572
"2818",2010,"CHL",71.311,2080.883
"2819",2011,"CHL",78.064,2158.947
"2820",2012,"CHL",79.684,2238.631
"2821",2013,"CHL",81.811,2320.442
"2822",2014,"CHL",77.574,2398.016
"2823",2015,"CHL",81.824,2479.84
"2824",2016,"CHL",84.392,2564.232
"2825",2017,"CHL",84.046,2648.278
"2826",2018,"CHL",84.409,2732.687
"2827",2019,"CHL",86.129,2818.816
"2828",2020,"CHL",81.171,2899.987
"2829",1902,"CHN",0.095,0.095
"2830",1903,"CHN",1.964,2.059
"2831",1904,"CHN",2.088,4.147
"2832",1905,"CHN",2.297,6.444
"2833",1906,"CHN",17.111,23.555
"2834",1907,"CHN",16.84,40.395
"2835",1908,"CHN",22.731,63.126
"2836",1909,"CHN",20.837,83.963
"2837",1910,"CHN",18.749,102.712
"2838",1911,"CHN",27.846,130.558
"2839",1912,"CHN",9.787,140.345
"2840",1913,"CHN",10.758,151.103
"2841",1914,"CHN",15.107,166.21
"2842",1915,"CHN",16.089,182.299
"2843",1916,"CHN",17.965,200.264
"2844",1917,"CHN",19.852,220.116
"2845",1918,"CHN",21.042,241.158
"2846",1919,"CHN",24.256,265.414
"2847",1920,"CHN",26.769,292.183
"2848",1921,"CHN",25.289,317.472
"2849",1922,"CHN",26.634,344.106
"2850",1923,"CHN",32.152,376.258
"2851",1924,"CHN",35.094,411.352
"2852",1925,"CHN",33.221,444.573
"2853",1926,"CHN",29.59,474.163
"2854",1927,"CHN",33.526,507.689
"2855",1928,"CHN",34.108,541.797
"2856",1929,"CHN",35.804,577.601
"2857",1930,"CHN",37.908,615.509
"2858",1931,"CHN",40.241,655.75
"2859",1932,"CHN",38.585,694.335
"2860",1933,"CHN",42.194,736.529
"2861",1934,"CHN",49.254,785.783
"2862",1935,"CHN",57.597,843.38
"2863",1936,"CHN",64.955,908.335
"2864",1937,"CHN",60.491,968.826
"2865",1938,"CHN",55.303,1024.129
"2866",1939,"CHN",67.113,1091.242
"2867",1940,"CHN",86.047,1177.289
"2868",1941,"CHN",107.518,1284.807
"2869",1942,"CHN",113.741,1398.548
"2870",1943,"CHN",97.179,1495.727
"2871",1944,"CHN",97.769,1593.496
"2872",1945,"CHN",50.347,1643.843
"2873",1946,"CHN",31.259,1675.102
"2874",1947,"CHN",33.553,1708.655
"2875",1948,"CHN",23.836,1732.491
"2876",1949,"CHN",59.36,1791.851
"2877",1950,"CHN",78.835,1870.686
"2878",1951,"CHN",102.115,1972.801
"2879",1952,"CHN",127.999,2100.8
"2880",1953,"CHN",133.783,2234.583
"2881",1954,"CHN",160.877,2395.46
"2882",1955,"CHN",190.521,2585.981
"2883",1956,"CHN",215.824,2801.805
"2884",1957,"CHN",255.785,3057.59
"2885",1958,"CHN",524.617,3582.207
"2886",1959,"CHN",720.152,4302.359
"2887",1960,"CHN",798.8,5101.159
"2888",1961,"CHN",570.63,5671.789
"2889",1962,"CHN",459.618,6131.407
"2890",1963,"CHN",456.779,6588.186
"2891",1964,"CHN",460.637,7048.823
"2892",1965,"CHN",500.286,7549.109
"2893",1966,"CHN",549.459,8098.568
"2894",1967,"CHN",460.226,8558.794
"2895",1968,"CHN",495.507,9054.301
"2896",1969,"CHN",607.683,9661.984
"2897",1970,"CHN",807.953,10469.937
"2898",1971,"CHN",909.21,11379.147
"2899",1972,"CHN",968.646,12347.793
"2900",1973,"CHN",1008.293,13356.086
"2901",1974,"CHN",1028.1,14384.186
"2902",1975,"CHN",1183.215,15567.401
"2903",1976,"CHN",1226.421,16793.822
"2904",1977,"CHN",1340.831,18134.653
"2905",1978,"CHN",1492.778,19627.431
"2906",1979,"CHN",1525.661,21153.092
"2907",1980,"CHN",1494.496,22647.588
"2908",1981,"CHN",1476.488,24124.076
"2909",1982,"CHN",1606.585,25730.661
"2910",1983,"CHN",1694.217,27424.878
"2911",1984,"CHN",1844.828,29269.706
"2912",1985,"CHN",1998.083,31267.789
"2913",1986,"CHN",2104.213,33372.002
"2914",1987,"CHN",2257.739,35629.741
"2915",1988,"CHN",2425.894,38055.635
"2916",1989,"CHN",2463.654,40519.289
"2917",1990,"CHN",2484.855,43004.144
"2918",1991,"CHN",2606.096,45610.24
"2919",1992,"CHN",2730.788,48341.028
"2920",1993,"CHN",2921.651,51262.679
"2921",1994,"CHN",3100.002,54362.681
"2922",1995,"CHN",3357.909,57720.59
"2923",1996,"CHN",3503.234,61223.824
"2924",1997,"CHN",3510.169,64733.993
"2925",1998,"CHN",3360.455,68094.448
"2926",1999,"CHN",3350.34,71444.788
"2927",2000,"CHN",3439.152,74883.94
"2928",2001,"CHN",3514.934,78398.874
"2929",2002,"CHN",3872.595,82271.469
"2930",2003,"CHN",4545.014,86816.483
"2931",2004,"CHN",5223.755,92040.238
"2932",2005,"CHN",5876.555,97916.793
"2933",2006,"CHN",6488.804,104405.597
"2934",2007,"CHN",6978.612,111384.209
"2935",2008,"CHN",7496.832,118881.041
"2936",2009,"CHN",7886.533,126767.574
"2937",2010,"CHN",8616.653,135384.227
"2938",2011,"CHN",9528.556,144912.783
"2939",2012,"CHN",9775.622,154688.405
"2940",2013,"CHN",9952.744,164641.149
"2941",2014,"CHN",9985.583,174626.732
"2942",2015,"CHN",9848.42,184475.152
"2943",2016,"CHN",9720.444,194195.596
"2944",2017,"CHN",9920.459,204116.055
"2945",2018,"CHN",10289.99,214406.045
"2946",2019,"CHN",10489.989,224896.034
"2947",2020,"CHN",10667.887,235563.921
"2948",1958,"CIV",0.498,0.498
"2949",1959,"CIV",0.546,1.044
