"","year","iso3c","gdp","continent"
"612",1963,"DJI",NA,"Africa"
"613",1963,"DMA",NA,"Americas"
"614",1963,"DOM",5517527218.63662,"Americas"
"615",1963,"DZA",22366436351.8606,"Africa"
"616",1963,"ECU",13157651952.9506,"Americas"
"617",1963,"EGY",24504840915.1422,"Africa"
"618",1963,"ERI",NA,"Africa"
"619",1963,"ETH",NA,"Africa"
"620",1963,"EUR",2265880430567.05,"Europe"
"621",1963,"FJI",986077182.380225,"Oceania"
"622",1963,"FRO",NA,"Europe"
"623",1963,"FSM",NA,"Oceania"
"624",1963,"GAB",2219423259.69408,"Africa"
"625",1963,"GBR",850859444952.865,"Europe"
"626",1963,"GEO",NA,"Asia"
"627",1963,"GHA",8609394690.51608,"Africa"
"628",1963,"GIB",NA,"Europe"
"629",1963,"GIN",NA,"Africa"
"630",1963,"GMB",NA,"Africa"
"631",1963,"GNB",NA,"Africa"
"632",1963,"GNQ",NA,"Africa"
