"","sector","year","co2e_emissions","sector_number"
"189","1.A.3.a.ii.          Aviação doméstica",1991,5.42953315654417,1
"190","1.A.3.b.       Transporte rodoviário",1991,78.4985964933715,1
"191","1.A.3.c.       Transporte Ferroviário",1991,1.7988551150075,1
"192","1.A.3.d.ii.          Navegação doméstica",1991,3.36858839227056,1
"193","1.A.3.e.       Outros transportes",1991,0,1
"194","1.A.4.     Outros Setores",1991,37.9542691047359,1
"195","1.A.4.a.       Comercial / institucional",1991,2.59908527879993,1
"196","1.A.4.b.       Residencial",1991,24.0817222518242,1
"197","1.A.4.c.       Agricultura / silvicultura / pesca / piscicultura",1991,11.2734615741118,1
"198","1.A.5.     Não Especificado",1991,0.743998225604321,1
"199","1.B.   Emissões Fugitivas a Partir da Produção de Combustíveis",1991,8.91951238730253,1
"200","1.B.1.     Combustíveis sólidos",1991,1.69243978644,1
"201","1.B.2.     Petróleo e Gás Natural ",1991,7.22707260086253,1
"202","1.C.   Transporte e armazenamento de CO2",1991,NA,1
"203","2. Processos industriais e uso de produtos (IPPU)",1991,58.1605545839116,2
"204","2.A.   Indústria Mineral",1991,15.9797035211518,2
"205","2.A.1.     Produção de cimento",1991,11.7755921371672,2
"206","2.A.2.     Produção de cal",1991,3.56576600944882,2
"207","2.A.3.     Produção de vidro",1991,0.144540546936859,2
"208","2.A.4.     Outras utilizações de carbonatos em processos ",1991,0.493804827598945,2
"209","2.B.   Indústria Química",1991,9.1457376461768,2
"210","2.B.1.     Produção de amônia",1991,0.251109926515478,2
"211","2.B.10.      Outros produtos químicos",1991,0,2
"212","2.B.2.     Produção de ácido nítrico",1991,0.5104386457532,2
"213","2.B.3.     Produção de ácido adípico",1991,2.9819178,2
"214","2.B.4.     Caprolactama, glioxal e produção de ácido glioxílico",1991,0.112555305,2
"215","2.B.5.     Produção de carbureto",1991,0,2
"216","2.B.6.     Produção de dióxido de titânio",1991,0,2
"217","2.B.7.     Produção de carbonato de sódio",1991,0,2
"218","2.B.8.     Produção de petroquímica e negro de fumo",1991,3.58446796890812,2
"219","2.B.9.     Produção de fluoroquímicos",1991,1.705248,2
"220","2.C.   Indústria Metalúrgica",1991,32.4011636029208,2
"221","2.C.1.     Produção de ferro e aço",1991,27.6487650809153,2
"222","2.C.2.     Produção de ferroligas",1991,0.130744192,2
"223","2.C.3.     Produção de alumínio",1991,4.45488798265451,2
"224","2.C.4.     Produção de magnésio",1991,0.166766347350983,2
"225","2.C.7.     Outros não-ferrosos, fora alumínio e magnésio",1991,0,2
"226","2.D.   Produtos Não Energéticos de Combustíveis e Solventes",1991,0.511977716662273,2
"227","2.E.   Indústria Eletrônica",1991,0,2
"228","2.F.   Usos de Produtos como Substitutos para Substâncias Destruidoras da Camada de Ozônio",1991,0,2
"229","2.G.   Fabricação e Uso de Outros Produtos",1991,0.121972097,2
"230","2.H.   Outros",1991,0,2
"231","2.H.1.     Indústria de papel e celulose",1991,0,2
"232","2.H.2.     Indústria de alimentos e bebidas",1991,0,2
"233","2.H.2.a.       Alimentos",1991,0,2
"234","2.H.2.b.       Bebidas",1991,0,2
"235","3. Agropecuária",1991,406.023336364944,3
"236","3.A.   Fermentação Entérica",1991,293.965725054543,3
"237","3.A.1.     Bovinos",1991,282.183095566543,3
"238","3.A.1.a.       Bovinos de corte",1991,230.464275574543,3
"239","3.A.1.b.       Bovinos de leite",1991,51.718819992,3
"240","3.A.2.     Ovinos",1991,2.8179123,3
"241","3.A.3.     Suínos",1991,0.9601277,3
"242","3.A.4.     Outros animais",1991,8.004589488,3
"243","3.B.   Manejo de Dejetos Animais",1991,18.4559673799358,3
"244","3.B.1.     Bovinos",1991,8.0596718010501,3
"245","3.B.1.a.       Bovinos de corte",1991,5.43449281744028,3
"246","3.B.1.b.       Bovinos de leite",1991,2.62517898360981,3
"247","3.B.2.     Ovinos",1991,0.0961240616,3
"248","3.B.3.     Suínos",1991,8.12329769647655,3
"249","3.B.4.     Outros animais",1991,1.06352995597765,3
"250","3.B.5.     Emissões indiretas de N2O",1991,1.1133438648315,3
"251","3.B.5.a.       Bovinos",1991,0.327118703431452,3
"252","3.B.5.a.i.         Bovinos de corte",1991,0.0507247496167666,3
"253","3.B.5.a.ii.          Bovinos de leite",1991,0.276393953814686,3
"254","3.B.5.b.       Suínos ",1991,0.313715825319746,3
"255","3.B.5.c.vii.           Aves",1991,0.472509336080297,3
"256","3.C.   Cultivo de Arroz",1991,10.089158270856,3
"257","3.D.   Solos Manejados",1991,72.3610896872233,3
"258","3.D.1.     Emissões diretas",1991,56.4440366934779,3
"259","3.D.1.a.       Fertilizantes sintéticos",1991,3.09536992273615,3
"260","3.D.1.b.       Adubos orgânicos",1991,2.18812389098882,3
"261","3.D.1.c.       Deposição de dejetos em pastagem",1991,36.9527068981153,3
"262","3.D.1.c.i.         Bovinos",1991,33.2043168191586,3
"263","3.D.1.c.i.1.           Bovinos de corte",1991,23.9122491704892,3
"264","3.D.1.c.i.2.           Bovino de leite",1991,9.29206764866933,3
"265","3.D.1.c.ii.          Suínos ",1991,0.783834589147578,3
"266","3.D.1.c.iii.           Outros animais",1991,2.96455548980912,3
"267","3.D.1.d.       Resíduos agrícolas",1991,11.9938453691333,3
"268","3.D.1.d.i.         Soja",1991,1.13920308774755,3
"269","3.D.1.d.ii.          Milho",1991,1.26538147498589,3
"270","3.D.1.d.iii.           Cana-de-açúcar",1991,0.540369728469874,3
"271","3.D.1.d.iv.          Arroz",1991,0.432486704684006,3
"272","3.D.1.d.ix.          Outras culturas temporárias",1991,0.290936481349907,3
"273","3.D.1.d.v.         Feijão",1991,0.299948245539756,3
"274","3.D.1.d.vi.          Mandioca",1991,0.263636077484247,3
"275","3.D.1.d.vii.           Trigo",1991,0.115996530103916,3
"276","3.D.1.d.viii.            Pastagens",1991,7.64588703876813,3
"277","3.D.1.e.       Mineralização de N associada a perda de C do solo",1991,0.769558991268882,3
"278","3.D.1.f.       Manejo de solos orgânicos",1991,1.44443162123551,3
"279","3.D.2.     Emissões indiretas",1991,15.9170529937454,3
"280","3.D.2.a.       Deposição atmosferica",1991,6.11861129826454,3
"281","3.D.2.a.i.         Fertilizantes sintéticos",1991,0.660221504289045,3
"282","3.D.2.a.ii.          Adubos orgânicos",1991,0.412791775689667,3
"283","3.D.2.a.iii.           Deposição de dejetos diretamente no solo",1991,5.04559801828582,3
"284","3.D.2.a.iii.1.             Bovinos",1991,4.42724224255448,3
"285","3.D.2.a.iii.1.a.               Bovinos de corte",1991,3.18829988939857,3
"286","3.D.2.a.iii.1.b.               Bovino de leite",1991,1.23894235315591,3
"287","3.D.2.a.iii.2.             Suínos ",1991,0.0783834589147577,3
"288","3.D.2.a.iii.3.             Outros animais",1991,0.539972316816589,3
"289","3.D.2.b.       Lixiviação / escorrimento superficial",1991,9.79844169548084,3
"290","3.D.2.b.i.         Fertilizantes sintéticos",1991,0.732261950357143,3
"291","3.D.2.b.ii.          Adubos orgânicos",1991,0.518115993461663,3
"292","3.D.2.b.iii.           Deposição de dejetos diretamente no solo",1991,5.67629777057155,3
"293","3.D.2.b.iii.1.             Bovinos",1991,4.98064752287378,3
"294","3.D.2.b.iii.2.             Suínos ",1991,0.0881813912791024,3
"295","3.D.2.b.iii.3.             Outros animais",1991,0.607468856418663,3
"296","3.D.2.b.iv.          Resíduos agrícolas",1991,2.69861520805499,3
"297","3.D.2.b.iv.1.            Soja",1991,0.256320694743198,3
"298","3.D.2.b.iv.2.            Milho",1991,0.284710831871824,3
"299","3.D.2.b.iv.3.            Cana-de-açúcar",1991,0.121583188905722,3
"300","3.D.2.b.iv.4.            Arroz",1991,0.0973095085539014,3
"301","3.D.2.b.iv.5.            Feijão",1991,0.067488355246445,3
"302","3.D.2.b.iv.6.            Mandioca",1991,0.0593181174339557,3
"303","3.D.2.b.iv.7.            Trigo",1991,0.0260992192733812,3
"304","3.D.2.b.iv.8.            Pastagens",1991,1.72032458372283,3
"305","3.D.2.b.iv.9.            Outras",1991,0.065460708303729,3
"306","3.D.2.b.v.         Mineralização de N associada a perda de C do solo",1991,0.173150773035499,3
"307","3.E.   Queima prescrita de savanas",1991,NA,3
"308","3.F.   Queima de resíduos agrícolas",1991,1.82370461751583,3
"309","3.G.   Calagem",1991,8.67265229406697,3
"310","3.H.   Aplicação de Ureia",1991,0.655039060803163,3
"311","3.I.   Outros fertilizantes Contendo Carbono",1991,NA,3
"312","3.J.   Outro",1991,NA,3
"313","4. Uso da Terra, Mudança do Uso da Terra e Florestas (LULUCF)",1991,733.39180671521,4
"314","4.A.   Floresta",1991,-66.7832397709818,4
"315","4.A.1.     Floresta permanecendo Floresta",1991,-42.4717481800713,4
"316","4.A.2.     Área convertida para floresta",1991,-24.3114915909105,4
"317","4.B.   Agricultura",1991,76.6860178353618,4
"318","4.B.1.     Agricultura permanecendo agricultura",1991,0,4
"319","4.B.2.     Área convertida para agricultura",1991,76.6860178353618,4
"320","4.C.   Campos/Pastagem permanecendo Campos/Pastagem",1991,724.568899063813,4
"321","4.C.1.     Campos/Pastagem permanecendo Campos/Pastagem",1991,14.9440886711689,4
"322","4.C.2.     Área convertida para Campos/Pastagem",1991,709.624810392644,4
"323","4.D.   Área Alagada",1991,6.30728027161014,4
"324","4.D.1.     Área alagada permanecendo área alagada",1991,0,4
"325","4.D.2.     Área convertida para área alagada",1991,6.30728027161014,4
"326","4.E.   Assentamentos",1991,6.61322939343862,4
"327","4.E.1.     Assentamentos permanecendo assentamentos",1991,0,4
"328","4.E.2.     Área convertida para assentamentos",1991,6.61322939343862,4
"329","4.F.   Outras Terras",1991,1.11154764702985,4
"330","4.F.1.     Outras terras permanecendo outras terras",1991,0,4
"331","4.F.2.     Área convertida para outras terras",1991,1.11154764702985,4
"332","4.G.   Produtos Florestais Madeireiros",1991,-15.1119277250615,4
"333","5. Resíduos",1991,36.089505656219,5
"334","5.A.   Disposição de Resíduos Sólidos",1991,16.3074513282743,5
"335","5.A.1.     Locais Manejados",1991,5.94091969387332,5
"336","5.A.3.     Locais Não Categorizados",1991,10.366531634401,5
"337","5.B.   Tratamento Biológico de Resíduos Sólidos",1991,0.0232776978929488,5
"338","5.C.   Incineração e Queima a Céu Aberto de Resíduos Sólidos",1991,1.12463794818582,5
"339","5.D.   Tratamento e Despejo de Águas Residuárias",1991,18.6341386818659,5
"340","5.D.1.     Águas residuárias domésticas",1991,16.8341462604416,5
"341","5.D.2.     Águas residuárias industriais",1991,1.79999242142434,5
"342","5.E.   Outro",1991,NA,5
"343","1. Energia",1992,204.744877417884,1
"344","1.A.   Atividades de Queima de Combustíveis (abordagem setorial)",1992,195.909570999024,1
"345","1.A.1.     Indústrias de Energia",1992,25.2108842123489,1
"346","1.A.1.a.       Produção de eletricidade e calor como atividade principal",1992,7.83987642527242,1
"347","1.A.1.b.       Refino de petróleo",1992,10.2711151073078,1
"348","1.A.1.c.       Produção de combustíveis sólidos e outras indústrias de energia",1992,7.09989267976875,1
"349","1.A.2.     Indústrias de Transformação e Construção",1992,41.0523819299531,1
"350","1.A.2.a.       Ferro e aço",1992,5.46564781563621,1
"351","1.A.2.b.       Metais não ferrosos",1992,1.44497571120542,1
"352","1.A.2.c.       Produtos quimicos",1992,10.4072946037047,1
"353","1.A.2.d.       Celulose, papel e impressão",1992,3.49815472246585,1
"354","1.A.2.e.       Processamento de alimentos, bebidas e tabaco",1992,4.21228457616362,1
"355","1.A.2.f.       Minerais não metálicos",1992,7.65958714642749,1
"356","1.A.2.g.       Equipamentos de transporte",1992,4.10196135263168,1
"357","1.A.2.i.       Mineração (exceto combustíveis) e extração",1992,2.69685807589181,1
"358","1.A.2.l.       Têxtil e couro",1992,1.5656179258263,1
"359","1.A.3.     Transporte",1992,89.8051711982435,1
"360","1.A.3.a.ii.          Aviação doméstica",1992,5.10448979595953,1
"361","1.A.3.b.       Transporte rodoviário",1992,79.3217765796255,1
"362","1.A.3.c.       Transporte Ferroviário",1992,1.84801055619704,1
"363","1.A.3.d.ii.          Navegação doméstica",1992,3.53089426646144,1
"364","1.A.3.e.       Outros transportes",1992,0,1
"365","1.A.4.     Outros Setores",1992,38.7137385982349,1
"366","1.A.4.a.       Comercial / institucional",1992,2.62593820691748,1
"367","1.A.4.b.       Residencial",1992,24.5879462847273,1
"368","1.A.4.c.       Agricultura / silvicultura / pesca / piscicultura",1992,11.4998541065901,1
"369","1.A.5.     Não Especificado",1992,1.12739506024409,1
"370","1.B.   Emissões Fugitivas a Partir da Produção de Combustíveis",1992,8.83530641885929,1
"371","1.B.1.     Combustíveis sólidos",1992,1.38979312566,1
"372","1.B.2.     Petróleo e Gás Natural ",1992,7.4455132931993,1
"373","1.C.   Transporte e armazenamento de CO2",1992,NA,1
"374","2. Processos industriais e uso de produtos (IPPU)",1992,56.2645534251416,2
"375","2.A.   Indústria Mineral",1992,14.0598328242792,2
"376","2.A.1.     Produção de cimento",1992,9.76985687644339,2
"377","2.A.2.     Produção de cal",1992,3.74947990551181,2
"378","2.A.3.     Produção de vidro",1992,0.105191222171543,2
"379","2.A.4.     Outras utilizações de carbonatos em processos ",1992,0.43530482015247,2
"380","2.B.   Indústria Química",1992,9.37943150834911,2
"381","2.B.1.     Produção de amônia",1992,0.257641548498708,2
"382","2.B.10.      Outros produtos químicos",1992,0,2
"383","2.B.2.     Produção de ácido nítrico",1992,0.5016792619878,2
"384","2.B.3.     Produção de ácido adípico",1992,2.7573939,2
"385","2.B.4.     Caprolactama, glioxal e produção de ácido glioxílico",1992,0.099452115,2
"386","2.B.5.     Produção de carbureto",1992,0,2
"387","2.B.6.     Produção de dióxido de titânio",1992,0,2
