"","year","iso3c","gdp"
"301",2009,"CHE",483917241177.063
"302",2010,"CHE",499395508860.148
"303",2011,"CHE",508961203841.199
"304",2012,"CHE",515774085425.134
"305",2013,"CHE",525330424699.831
"306",2014,"CHE",538066358582.992
"307",2015,"CHE",546868930892.476
"308",2016,"CHE",557725407844.098
"309",2017,"CHE",566940745221.521
"310",2018,"CHE",584158317679.239
"311",2019,"CHE",590667301510.649
"312",2020,"CHE",573047109024.132
"313",2021,"CHE",591616581954.275
"314",2022,"CHE",608673899691.277
"315",2023,"CHE",619900100000
"316",2024,"CHE",629602100000
"317",2025,"CHE",639031800000
"318",2026,"CHE",648599400000
"319",2027,"CHE",658358800000
"320",2028,"CHE",668280700000
"321",2029,"CHE",678313500000
"322",2030,"CHE",688435800000
"323",2031,"CHE",698649700000
"324",2032,"CHE",708964800000
"325",2033,"CHE",719396100000
"326",2034,"CHE",729958900000
"327",2035,"CHE",740668100000
"328",2036,"CHE",751536600000
"329",2037,"CHE",762582500000
"330",2038,"CHE",7.73813e+11
"331",2039,"CHE",785231400000
"332",2040,"CHE",796838600000
"333",2041,"CHE",808636700000
"334",2042,"CHE",820636600000
"335",2043,"CHE",832839100000
"336",2044,"CHE",8.45245e+11
"337",2045,"CHE",857854100000
"338",2046,"CHE",8.70671e+11
"339",2047,"CHE",883718300000
"340",2048,"CHE",897011200000
"341",2049,"CHE",910563800000
"342",2050,"CHE",924387400000
"343",2051,"CHE",938496400000
"344",2052,"CHE",952886900000
"345",2053,"CHE",967578500000
"346",2054,"CHE",982591300000
"347",2055,"CHE",997946500000
"348",2056,"CHE",1.013665e+12
"349",2057,"CHE",1.029769e+12
"350",2058,"CHE",1.046275e+12
"351",2059,"CHE",1.063189e+12
"352",2060,"CHE",1.0805e+12
"353",1990,"CHL",116262461318.527
"354",1991,"CHL",125528463863.626
"355",1992,"CHL",140940878170.915
"356",1993,"CHL",150787380088.15
"357",1994,"CHL",159394503319.928
"358",1995,"CHL",176334277224.583
"359",1996,"CHL",189406829864.649
"360",1997,"CHL",203334178894.724
"361",1998,"CHL",212401992966.845
"362",1999,"CHL",211304806070.618
"363",2000,"CHL",222598701399.35
"364",2001,"CHL",229967616919.393
"365",2002,"CHL",237102191997.915
"366",2003,"CHL",246833226301.916
"367",2004,"CHL",264557118072.735
"368",2005,"CHL",279885142776.072
"369",2006,"CHL",297576244185.071
"370",2007,"CHL",312201511439.874
"371",2008,"CHL",323221474834.83
"372",2009,"CHL",318256336951.42
"373",2010,"CHL",336927548668.399
"374",2011,"CHL",357209065558.595
"375",2012,"CHL",376575890463.904
"376",2013,"CHL",391978590890.01
"377",2014,"CHL",398738582493.208
"378",2015,"CHL",407747451332.085
"379",2016,"CHL",414352352285.565
"380",2017,"CHL",420191098395.208
"381",2018,"CHL",436012011552.488
"382",2019,"CHL",439831540862.064
"383",2020,"CHL",413320990954.928
"384",2021,"CHL",441170257900.904
"385",2022,"CHL",456803703748.668
"386",2023,"CHL",473898500000
"387",2024,"CHL",489101900000
"388",2025,"CHL",501847700000
"389",2026,"CHL",512686900000
"390",2027,"CHL",522432100000
"391",2028,"CHL",531616700000
"392",2029,"CHL",540480400000
"393",2030,"CHL",549161300000
"394",2031,"CHL",557732700000
"395",2032,"CHL",566198800000
"396",2033,"CHL",574532200000
"397",2034,"CHL",582684800000
"398",2035,"CHL",590607100000
"399",2036,"CHL",598265900000
"400",2037,"CHL",605654600000
"401",2038,"CHL",612781600000
"402",2039,"CHL",619663500000
