"","year","code_state","level_one","level_two","emissions_type","co2e_emissions"
"143",1979,"BR","Processos Industriais","Emissões de HFCs","net",0
"144",1979,"BR","Processos Industriais","Indústria Química","net",5310454.92031953
"145",1979,"BR","Processos Industriais","Produção de Metais","net",17042902.3666101
"146",1979,"BR","Processos Industriais","Produtos Minerais","net",13724989.9721215
"147",1979,"BR","Processos Industriais","Uso de SF6","net",0
"148",1979,"BR","Processos Industriais","Uso Não-Energético de Combustíveis e Uso de Solventes","net",0
"149",1979,"BR","Resíduos","Resíduos Sólidos","net",2893238.5146953
"150",1979,"BR","Resíduos","Tratamento de Efluentes Liquidos","net",12269937.8866208
"151",1980,"BR","Agropecuária","Cultivo de Arroz","net",8293993.09928
"152",1980,"BR","Agropecuária","Fermentação Entérica","net",228549029.70956
"153",1980,"BR","Agropecuária","Manejo de Dejetos Animais","net",14476503.9747
"154",1980,"BR","Agropecuária","Queima de Resíduos Agrícolas","net",1201450.82991
"155",1980,"BR","Agropecuária","Solos Manejados","net",66436514.80321
"156",1980,"BR","Energia","Emissões Fugitivas","net",7533883.14116593
"157",1980,"BR","Energia","Emissões pela Queima de Combustíveis","net",182702195.2635
"158",1980,"BR","Processos Industriais","Emissões de HFCs","net",0
"159",1980,"BR","Processos Industriais","Indústria Química","net",5567244.69323638
"160",1980,"BR","Processos Industriais","Produção de Metais","net",17861934.0007002
"161",1980,"BR","Processos Industriais","Produtos Minerais","net",14773985.4233166
"162",1980,"BR","Processos Industriais","Uso de SF6","net",0
"163",1980,"BR","Processos Industriais","Uso Não-Energético de Combustíveis e Uso de Solventes","net",0
"164",1980,"BR","Resíduos","Resíduos Sólidos","net",3244811.37306144
"165",1980,"BR","Resíduos","Tratamento de Efluentes Liquidos","net",12725551.0862456
"166",1981,"BR","Agropecuária","Cultivo de Arroz","net",8022006.5366
"167",1981,"BR","Agropecuária","Fermentação Entérica","net",234013488.856
"168",1981,"BR","Agropecuária","Manejo de Dejetos Animais","net",14145657.73466
"169",1981,"BR","Agropecuária","Queima de Resíduos Agrícolas","net",1265426.07866
"170",1981,"BR","Agropecuária","Solos Manejados","net",65945915.33637
"171",1981,"BR","Energia","Emissões Fugitivas","net",7859360.30949369
"172",1981,"BR","Energia","Emissões pela Queima de Combustíveis","net",173234941.578991
"173",1981,"BR","Processos Industriais","Emissões de HFCs","net",0
"174",1981,"BR","Processos Industriais","Indústria Química","net",5284602.46010882
"175",1981,"BR","Processos Industriais","Produção de Metais","net",14935888.5584965
