"","year","iso3c","gdp","continent"
"215",1960,"ZWE",4398850040.77183,"Africa"
"216",1961,"ABW",NA,"Americas"
"217",1961,"AFG",NA,"Asia"
"218",1961,"AGO",NA,"Africa"
"219",1961,"ALB",NA,"Europe"
"220",1961,"AND",NA,"Europe"
"221",1961,"ARE",NA,"Asia"
"222",1961,"ARG",158982878501.396,"Americas"
"223",1961,"ARM",NA,"Asia"
"224",1961,"ASM",NA,"Oceania"
"225",1961,"ATG",NA,"Americas"
"226",1961,"AUS",210140579058.534,"Oceania"
"227",1961,"AUT",89598376615.323,"Europe"
"228",1961,"AZE",NA,"Asia"
"229",1961,"BDI",688854936.96542,"Africa"
"230",1961,"BEL",112711821523.205,"Europe"
"231",1961,"BEN",1702986955.13621,"Africa"
"232",1961,"BFA",1213966637.39199,"Africa"
"233",1961,"BGD",23595196297.5699,"Asia"
"234",1961,"BGR",NA,"Europe"
"235",1961,"BHR",NA,"Asia"
"236",1961,"BHS",2436525418.35062,"Americas"
"237",1961,"BIH",NA,"Europe"
"238",1961,"BLR",NA,"Europe"
"239",1961,"BLZ",115410358.318665,"Americas"
"240",1961,"BMU",1763181111.92444,"Americas"
"241",1961,"BOL",4826516215.3241,"Americas"
"242",1961,"BRA",204671730778.626,"Americas"
"243",1961,"BRB",NA,"Americas"
"244",1961,"BRN",NA,"Asia"
"245",1961,"BTN",NA,"Asia"
"246",1961,"BWA",191161457.658828,"Africa"
"247",1961,"CAF",1028934740.61167,"Africa"
"248",1961,"CAN",NA,"Americas"
"249",1961,"CHE",NA,"Europe"
"250",1961,"CHL",28505352534.2834,"Americas"
"251",1961,"CHN",115573183433.676,"Asia"
"252",1961,"CIV",6038315884.561,"Africa"
"253",1961,"CMR",4884469556.99475,"Africa"
"254",1961,"COD",17088021198.7767,"Africa"
"255",1961,"COG",1358235874.18264,"Africa"
"256",1961,"COL",32163862369.9921,"Americas"
"257",1961,"COM",NA,"Africa"
"258",1961,"CPV",NA,"Africa"
"259",1961,"CRI",4881521089.29929,"Americas"
"260",1961,"CUB",NA,"Americas"
"261",1961,"CUW",NA,"Americas"
"262",1961,"CYM",NA,"Americas"
"263",1961,"CYP",NA,"Asia"
"264",1961,"CZE",NA,"Europe"
"265",1961,"DEU",NA,"Europe"
"266",1961,"DJI",NA,"Africa"
"267",1961,"DMA",NA,"Americas"
"268",1961,"DNK",88214214003.3142,"Europe"
"269",1961,"DOM",4426106495.99265,"Americas"
"270",1961,"DZA",20733849882.3774,"Africa"
"271",1961,"ECU",12282048670.6423,"Americas"
"272",1961,"EGY",21345429170.824,"Africa"
"273",1961,"ERI",NA,"Africa"
"274",1961,"ESP",211601930893.233,"Europe"
"275",1961,"EST",NA,"Europe"
"276",1961,"ETH",NA,"Africa"
"277",1961,"FIN",54436685307.0741,"Europe"
"278",1961,"FJI",894854157.388206,"Oceania"
"279",1961,"FRA",546792817544.409,"Europe"
"280",1961,"FRO",NA,"Europe"
"281",1961,"FSM",NA,"Oceania"
"282",1961,"GAB",1946939612.83482,"Africa"
"283",1961,"GBR",802462500630.958,"Europe"
"284",1961,"GEO",NA,"Asia"
"285",1961,"GHA",7920604559.92971,"Africa"
"286",1961,"GIB",NA,"Europe"
"287",1961,"GIN",NA,"Africa"
"288",1961,"GMB",NA,"Africa"
"289",1961,"GNB",NA,"Africa"
"290",1961,"GNQ",NA,"Africa"
"291",1961,"GRC",47430053511.7558,"Europe"
"292",1961,"GRD",NA,"Americas"
"293",1961,"GRL",NA,"Americas"
"294",1961,"GTM",7987408907.81677,"Americas"
"295",1961,"GUM",NA,"Oceania"
"296",1961,"GUY",1628814869.07249,"Americas"
"297",1961,"HKG",12532981468.2878,"Asia"
"298",1961,"HND",2516776401.58448,"Americas"
"299",1961,"HRV",NA,"Europe"
"300",1961,"HTI",6491010262.02213,"Americas"
"301",1961,"HUN",NA,"Europe"
"302",1961,"IDN",55807383539.0809,"Asia"
"303",1961,"IMN",NA,"Europe"
"304",1961,"IND",141444716854.906,"Asia"
"305",1961,"IRL",NA,"Europe"
"306",1961,"IRN",58418320244.8242,"Asia"
"307",1961,"IRQ",NA,"Asia"
"308",1961,"ISL",NA,"Europe"
"309",1961,"ISR",NA,"Asia"
"310",1961,"ITA",526018617152.504,"Europe"
"311",1961,"JAM",NA,"Americas"
"312",1961,"JOR",NA,"Asia"
"313",1961,"JPN",653880668169.039,"Asia"
"314",1961,"KAZ",NA,"Asia"
"315",1961,"KEN",5627640180.25289,"Africa"
"316",1961,"KGZ",NA,"Asia"
"317",1961,"KHM",NA,"Asia"
"318",1961,"KIR",NA,"Oceania"
"319",1961,"KNA",NA,"Americas"
"320",1961,"KOR",27481937749.6061,"Asia"
"321",1961,"KWT",NA,"Asia"
"322",1961,"LAO",NA,"Asia"
"323",1961,"LBN",NA,"Asia"
"324",1961,"LBR",NA,"Africa"
"325",1961,"LBY",NA,"Africa"
"326",1961,"LCA",NA,"Americas"
"327",1961,"LIE",NA,"Europe"
"328",1961,"LKA",6243486562.26836,"Asia"
"329",1961,"LSO",197131452.55722,"Africa"
"330",1961,"LTU",NA,"Europe"
"331",1961,"LUX",8316106743.56304,"Europe"
"332",1961,"LVA",NA,"Europe"
"333",1961,"MAC",NA,"Asia"
"334",1961,"MAF",NA,"Americas"
"335",1961,"MAR",NA,"Africa"
"336",1961,"MCO",NA,"Europe"
"337",1961,"MDA",NA,"Europe"
"338",1961,"MDG",4236482862.70581,"Africa"
"339",1961,"MDV",NA,"Asia"
"340",1961,"MEX",148406633868.462,"Americas"
"341",1961,"MHL",NA,"Oceania"
"342",1961,"MKD",NA,"Europe"
"343",1961,"MLI",NA,"Africa"
"344",1961,"MLT",NA,"Europe"
"345",1961,"MMR",3221543699.28014,"Asia"
"346",1961,"MNE",NA,"Europe"
"347",1961,"MNG",NA,"Asia"
"348",1961,"MNP",NA,"Oceania"
"349",1961,"MOZ",NA,"Africa"
"350",1961,"MRT",1064723148.13523,"Africa"
"351",1961,"MUS",NA,"Africa"
"352",1961,"MWI",704449114.113091,"Africa"
"353",1961,"MYS",10840538967.3442,"Asia"
"354",1961,"NAM",NA,"Africa"
"355",1961,"NCL",NA,"Oceania"
"356",1961,"NER",2720485689.88858,"Africa"
"357",1961,"NGA",64849076517.3445,"Africa"
"358",1961,"NIC",3204107550.28516,"Americas"
"359",1961,"NLD",164411681403.781,"Europe"
"360",1961,"NOR",72822359398.0792,"Europe"
"361",1961,"NPL",3382694562.90877,"Asia"
"362",1961,"NRU",NA,"Oceania"
"363",1961,"NZL",NA,"Oceania"
"364",1961,"OMN",NA,"Asia"
"365",1961,"PAK",18072863229.2013,"Asia"
"366",1961,"PAN",3404186055.06219,"Americas"
"367",1961,"PER",29536484548.7761,"Americas"
"368",1961,"PHL",33129655728.2504,"Asia"
"369",1961,"PLW",NA,"Oceania"
"370",1961,"PNG",2780578632.71552,"Oceania"
"371",1961,"POL",NA,"Europe"
"372",1961,"PRI",15920199466.5943,"Americas"
"373",1961,"PRK",NA,"Asia"
"374",1961,"PRT",36769002703.101,"Europe"
"375",1961,"PRY",3036649321.17202,"Americas"
"376",1961,"PSE",NA,"Asia"
"377",1961,"PYF",NA,"Oceania"
"378",1961,"QAT",NA,"Asia"
"379",1961,"ROU",NA,"Europe"
"380",1961,"RUS",NA,"Europe"
"381",1961,"RWA",969696610.603538,"Africa"
"382",1961,"SAU",NA,"Asia"
"383",1961,"SDN",10297543758.6631,"Africa"
"384",1961,"SEN",3960500881.26313,"Africa"
"385",1961,"SGP",6426389292.98807,"Asia"
"386",1961,"SLB",NA,"Oceania"
"387",1961,"SLE",1172681464.40248,"Africa"
"388",1961,"SLV",NA,"Americas"
"389",1961,"SMR",NA,"Europe"
"390",1961,"SOM",NA,"Africa"
"391",1961,"SRB",NA,"Europe"
"392",1961,"SSD",NA,"Africa"
"393",1961,"STP",NA,"Africa"
"394",1961,"SUR",1089761066.29574,"Americas"
"395",1961,"SVK",NA,"Europe"
"396",1961,"SVN",NA,"Europe"
"397",1961,"SWE",130713643065.187,"Europe"
"398",1961,"SWZ",NA,"Africa"
"399",1961,"SXM",NA,"Americas"
"400",1961,"SYC",125492411.604237,"Africa"
"401",1961,"SYR",2655224778.99419,"Asia"
"402",1961,"TCA",NA,"Americas"
"403",1961,"TCD",1720682526.6067,"Africa"
"404",1961,"TGO",601000566.147887,"Africa"
"405",1961,"THA",16761795431.4479,"Asia"
"406",1961,"TJK",NA,"Asia"
"407",1961,"TKM",NA,"Asia"
"408",1961,"TLS",NA,"Asia"
"409",1961,"TON",NA,"Oceania"
"410",1961,"TTO",4204774783.53711,"Americas"
"411",1961,"TUN",NA,"Africa"
"412",1961,"TUR",69742281192.0531,"Asia"
"413",1961,"TUV",NA,"Oceania"
"414",1961,"TZA",NA,"Africa"
"415",1961,"UGA",NA,"Africa"
"416",1961,"UKR",NA,"Europe"
"417",1961,"URY",15956366696.0808,"Americas"
"418",1961,"USA",3536703362491.07,"Americas"
"419",1961,"UZB",NA,"Asia"
"420",1961,"VCT",155944450.683028,"Americas"
"421",1961,"VEN",NA,"Americas"
"422",1961,"VGB",NA,"Americas"
"423",1961,"VIR",NA,"Americas"
"424",1961,"VNM",NA,"Asia"
"425",1961,"VUT",NA,"Oceania"
"426",1961,"WSM",NA,"Oceania"
"427",1961,"YEM",NA,"Asia"
"428",1961,"ZAF",68177004390.1219,"Africa"
"429",1961,"ZMB",3796691708.18908,"Africa"
"430",1961,"ZWE",4676688327.39122,"Africa"
"431",1962,"ABW",NA,"Americas"
"432",1962,"AFG",NA,"Asia"
"433",1962,"AGO",NA,"Africa"
"434",1962,"ALB",NA,"Europe"
"435",1962,"AND",NA,"Europe"
"436",1962,"ARE",NA,"Asia"
"437",1962,"ARG",157628310157.913,"Americas"
"438",1962,"ARM",NA,"Asia"
"439",1962,"ASM",NA,"Oceania"
"440",1962,"ATG",NA,"Americas"
"441",1962,"AUS",212860782121.407,"Oceania"
"442",1962,"AUT",91971546518.3426,"Europe"
"443",1962,"AZE",NA,"Asia"
"444",1962,"BDI",751286947.842861,"Africa"
"445",1962,"BEL",118586365616.34,"Europe"
"446",1962,"BEN",1644635642.82313,"Africa"
"447",1962,"BFA",1288368209.87141,"Africa"
"448",1962,"BGD",24881849659.0784,"Asia"
"449",1962,"BGR",NA,"Europe"
"450",1962,"BHR",NA,"Asia"
"451",1962,"BHS",2691190370.18633,"Americas"
"452",1962,"BIH",NA,"Europe"
"453",1962,"BLR",NA,"Europe"
"454",1962,"BLZ",121056985.731217,"Americas"
"455",1962,"BMU",1841995307.62752,"Americas"
"456",1962,"BOL",5095783590.38704,"Americas"
"457",1962,"BRA",218180065010.015,"Americas"
"458",1962,"BRB",NA,"Americas"
"459",1962,"BRN",NA,"Asia"
"460",1962,"BTN",NA,"Asia"
"461",1962,"BWA",203905557.028968,"Africa"
"462",1962,"CAF",990722160.320593,"Africa"
"463",1962,"CAN",NA,"Americas"
"464",1962,"CHE",NA,"Europe"
"465",1962,"CHL",29653173467.0456,"Americas"
"466",1962,"CHN",109124199809.477,"Asia"
"467",1962,"CIV",6112405687.72689,"Africa"
"468",1962,"CMR",5033033582.89928,"Africa"
"469",1962,"COD",20710800884.3965,"Africa"
"470",1962,"COG",1428895498.43613,"Africa"
"471",1962,"COL",33904535097.0798,"Americas"
"472",1962,"COM",NA,"Africa"
"473",1962,"CPV",NA,"Africa"
"474",1962,"CRI",5147192571.92939,"Americas"
"475",1962,"CUB",NA,"Americas"
"476",1962,"CUW",NA,"Americas"
"477",1962,"CYM",NA,"Americas"
"478",1962,"CYP",NA,"Asia"
"479",1962,"CZE",NA,"Europe"
"480",1962,"DEU",NA,"Europe"
"481",1962,"DJI",NA,"Africa"
"482",1962,"DMA",NA,"Americas"
"483",1962,"DNK",93213156641.943,"Europe"
"484",1962,"DOM",5180635534.24653,"Americas"
"485",1962,"DZA",16652382861.0539,"Africa"
"486",1962,"ECU",12886220692.1956,"Americas"
"487",1962,"EGY",22172696193.3495,"Africa"
"488",1962,"ERI",NA,"Africa"
"489",1962,"ESP",232663598109.482,"Europe"
"490",1962,"EST",NA,"Europe"
"491",1962,"ETH",NA,"Africa"
"492",1962,"FIN",56059957614.5909,"Europe"
"493",1962,"FJI",927123512.318707,"Oceania"
"494",1962,"FRA",584212419894.486,"Europe"
"495",1962,"FRO",NA,"Europe"
"496",1962,"FSM",NA,"Oceania"
"497",1962,"GAB",2091971264.2585,"Africa"
"498",1962,"GBR",811312936981.779,"Europe"
"499",1962,"GEO",NA,"Asia"
"500",1962,"GHA",8246074763.86567,"Africa"
"501",1962,"GIB",NA,"Europe"
"502",1962,"GIN",NA,"Africa"
"503",1962,"GMB",NA,"Africa"
"504",1962,"GNB",NA,"Africa"
"505",1962,"GNQ",NA,"Africa"
"506",1962,"GRC",47603083345.2485,"Europe"
"507",1962,"GRD",NA,"Americas"
"508",1962,"GRL",NA,"Americas"
"509",1962,"GTM",8269883724.77256,"Americas"
"510",1962,"GUM",NA,"Oceania"
"511",1962,"GUY",1646812064.97173,"Americas"
"512",1962,"HKG",14324123809.2792,"Asia"
"513",1962,"HND",2661864686.32059,"Americas"
"514",1962,"HRV",NA,"Europe"
"515",1962,"HTI",7002993622.73423,"Americas"
"516",1962,"HUN",NA,"Europe"
"517",1962,"IDN",56835343100.146,"Asia"
"518",1962,"IMN",NA,"Europe"
"519",1962,"IND",145590642182.681,"Asia"
"520",1962,"IRL",NA,"Europe"
"521",1962,"IRN",63435700217.0601,"Asia"
"522",1962,"IRQ",NA,"Asia"
"523",1962,"ISL",NA,"Europe"
"524",1962,"ISR",NA,"Asia"
"525",1962,"ITA",558650973503.974,"Europe"
"526",1962,"JAM",NA,"Americas"
"527",1962,"JOR",NA,"Asia"
"528",1962,"JPN",712134720319.541,"Asia"
"529",1962,"KAZ",NA,"Asia"
"530",1962,"KEN",6159866300.79428,"Africa"
"531",1962,"KGZ",NA,"Asia"
"532",1962,"KHM",NA,"Asia"
"533",1962,"KIR",NA,"Oceania"
"534",1962,"KNA",NA,"Americas"
"535",1962,"KOR",28552434121.6851,"Asia"
"536",1962,"KWT",NA,"Asia"
"537",1962,"LAO",NA,"Asia"
"538",1962,"LBN",NA,"Asia"
"539",1962,"LBR",NA,"Africa"
"540",1962,"LBY",NA,"Africa"
"541",1962,"LCA",NA,"Americas"
"542",1962,"LIE",NA,"Europe"
"543",1962,"LKA",6481864100.31966,"Asia"
"544",1962,"LSO",227355280.838061,"Africa"
"545",1962,"LTU",NA,"Europe"
"546",1962,"LUX",8429095828.9801,"Europe"
"547",1962,"LVA",NA,"Europe"
"548",1962,"MAC",NA,"Asia"
"549",1962,"MAF",NA,"Americas"
"550",1962,"MAR",NA,"Africa"
"551",1962,"MCO",NA,"Europe"
"552",1962,"MDA",NA,"Europe"
